Remove,,,,
These,,,,
Rows,,,,
,,,,
longitude,latitude,shopname,location,accuracy
-111.661499,35.188047,Starbucks - AZ - Flagstaff [WD]  00137,"1307 S. Milton Rd., Flagstaff_1307 S. Milton Road_Flagstaff, Arizona 860016384_928-774-0602",465
-111.63142,35.194549,Starbucks - AZ - Flagstaff [W]  00138,"Highway 66 & Switzer Canyon, Flagst_1426 E. Route 66_Flagstaff, Arizona 86001_928-214-6461",465
-114.597999,35.016058,Starbucks - AZ - Fort Mohave  00139,"Safeway - Fort Mohave #1474_4823 S Hwy 95_Fort Mohave, Arizona 86426",465
-111.7299795,33.60857565,Starbucks - AZ - Fountain Hills  00140,"Safeway - Fountain Hills #1291_13733 Fountain Hills Blvd_Fountain Hills, Arizona 85268_480-837-0287",465
-111.7249286,33.61019636,Starbucks - AZ - Fountain Hills [W]  00141,"Fountain Hills_16425 E. Palisades Blvd._Fountain Hills, Arizona 852683708_480-816-6969",465
-111.718697,33.575834,Starbucks - AZ - Fountain Hills [W]  00142,"Shea & Technology, Fountain Hills_16815 E. Shea Blvd._Fountain Hills, Arizona 852686667_480-837-1486",465
-111.6877649,33.36489156,Starbucks - AZ - Gilbert  00143,"Albertsons-Gilbert #0929_8454 S Power Rd_Gilbert, Arizona 85297",465
-111.7714833,33.3354678,Starbucks - AZ - Gilbert  00144,"Albertsons-Gilbert #1023_861 E Warner_Gilbert, Arizona 85296",465
-111.7897403,33.30648175,Starbucks - AZ - Gilbert  00145,"Super Target Gilbert ST-1960_3931 S. Gilbert Road_Gilbert, Arizona 85296",465
-111.7249218,33.37926425,Starbucks - AZ - Gilbert  00146,"Safeway - Gilbert #1748_5137 E Baseline Rd_Gilbert, Arizona 85234_480-325-5870",465
-111.7557216,33.34905619,Starbucks - AZ - Gilbert  00147,"Safeway-Gilbert #1534_90 S Val Vista Dr_Gilbert, Arizona 85296_480-545-7555",465
-111.8056644,33.32092108,Starbucks - AZ - Gilbert  00148,"Albertsons_3717 W Ray Road_Gilbert, Arizona 85233844",465
-111.7507,33.364,Starbucks - AZ - Gilbert [W]  00149,"Gilbert & Loop 202, Phoenix_3765 S. Gilbert Rd_Gilbert, Arizona 85234_480-899-3867",465
-111.7590113,33.335633,Starbucks - AZ - Gilbert [W]  00150,"Val Vista & Warner, Gilbert_1505 E. Warner Road_Gilbert, Arizona 85296_480-539-1984",465
-111.8095615,33.33537004,Starbucks - AZ - Gilbert [W]  00151,"Warner & Cooper Road_884 W. Warner Road_Gilbert, Arizona 85234_(480) 497-1504",465
-112.166999,33.59640608,Starbucks - AZ - Glendale  00152,"Albertsons-Glendale #941_5040 W. Cactus_Glendale, Arizona 85304_602-843-1871",465
-112.159799,33.610699,Starbucks - AZ - Glendale  00153,"ASU West Campus - Fletcher Library_4701 W. Thunderbird Road_Glendale, Arizona 85069-710",465
-112.3556078,33.53860232,Starbucks - AZ - Glendale  00154,"Main Exchange Mall_7123 N. 138th Ave._Glendale, Arizona 85309_623-536-1219",465
-112.2029872,33.67000491,Starbucks - AZ - Glendale  00155,"Safeway-Glendale #1510_20205 N 67th Ave_Glendale, Arizona 85308",465
-112.2374114,33.65280991,Starbucks - AZ - Glendale [WD]  00156,"101 Freeway & Union Hills Drive_8251 W. Union Hills Drive_Glendale, Arizona 853080502_623-566-9202",465
-112.1436192,33.69838093,Starbucks - AZ - Glendale [W]  00157,"39th & Pinnacle Peak, Phoenix_23425 N. 39th Drive_Glendale, Arizona 85310_623-869-8906",465
-112.1863216,33.65394714,Starbucks - AZ - Glendale [W]  00158,"59th & Union Hills, Glendale_18555 N. 59th Avenue_Glendale, Arizona 85308_602-298-9098",465
-112.1855156,33.61081108,Starbucks - AZ - Glendale [W]  00159,"59th & Thunderbird_5890 W. Thunderbird Rd._Glendale, Arizona 85306_(602) 942-8923",465
-112.2176653,33.63835723,Starbucks - AZ - Glendale [W]  00160,"75th & Bell Ave._7410 West Bell Road_Glendale, Arizona 85345_623-878-1717",465
-112.224434,33.63960715,Starbucks - AZ - Glendale [W]  00161,"Arrowhead Towne Center_7700  Arrowhead Town Center_Glendale, Arizona 85308_(623) 334-8061",465
-112.3753049,33.49345981,Starbucks - AZ - Goodyear  00162,"Safeway-Goodyear #1511_14175 W Indian Sch R_Goodyear, Arizona 85338",465
-112.392599,33.451464,Starbucks - AZ - Goodyear  00163,"Safeway-Goodyear #2618_440 N Estrella Pkwy_Goodyear, Arizona 85338",465
-112.3583262,33.48026748,Starbucks - AZ - Goodyear  00164,"Safeway_390 N Litchfield Rd_Goodyear, Arizona 85338",465
-112.3580189,33.46160901,Starbucks - AZ - Goodyear [W]  00165,"Litchfield & McDowell, Goodyear_1375 North Litchfield Road_Goodyear, Arizona 853381228_623-536-3256",465
-110.9987224,31.85233448,Starbucks - AZ - Green Valley  00166,"Safeway-Green Valley #2044_260 West Continental_Green Valley, Arizona 85614",465
-111.6862971,33.28825881,Starbucks - AZ - Higley [W]  00167,"Power & Loop 202, Gilbert_4972 S. Power Road_Higley, Arizona 85236_480-988-4173",465
-114.0374472,35.23700997,Starbucks - AZ - Kingman  00168,"Safeway-Kingman #1887_3970 Stockton Hill Rd_Kingman, Arizona 86401",465
-114.337554,34.478282,Starbucks - AZ - Lake Havasu City  00169,"Safeway - Lake Havasu City #216_1650 McCulloch_Lake Havasu City, Arizona 86403_520-855-7760",465
-114.342988,34.47318734,Starbucks - AZ - Lake Havasu City [W]  00170,"Swanson & So. Lake Havasu_55 Lake Havasu Avenue South_Lake Havasu City, Arizona 864030938_928-854-5444",465
-109.955309,34.14205054,Starbucks - AZ - Lakeside  00171,"Safeway-Lakeside #2069 (Pinetop)_20 W White Mountain Blvd_Lakeside, Arizona 85929",465
-112.1692939,33.37746449,Starbucks - AZ - Laveen [W]  00172,"Baseline & 51st. Avenue, Laveen_5150 W. Baseline Road_Laveen, Arizona 853392989_602-237-7763",465
-111.239105,32.4409,Starbucks - AZ - Marana  00173,"Bashas Dove Mountain #167_12100 N Dove Mountain Blvd_Marana, Arizona 85653",465
-111.2598,32.4354,Starbucks - AZ - Marana  00174,"Safeway-Marana #1749_9100 North Silver Bell_Marana, Arizona 85653",465
-111.0500991,32.3374794,Starbucks - AZ - Marana [WD]  00175,"Ina & Thornydale, Tucson_3951 W. Ina Road_Marana, Arizona 857412206_520-572-7457",465
-111.6840687,33.46544574,Starbucks - AZ - Mesa  00176,"Albertsons-Mesa #989_2727 N Power Road_Mesa, Arizona 85207_480-396-9282",465
-111.599266,33.378662,Starbucks - AZ - Mesa  00177,"Bashas' Mesa #155_9925 E Baseline Rd_Mesa, Arizona 85208",465
-111.6261939,33.37899985,Starbucks - AZ - Mesa  00178,"Albertsons-Mesa #1002_9243 E Baseline_Mesa, Arizona 85212",465
-111.8051231,33.42328203,Starbucks - AZ - Mesa  00179,"Albertsons-Mesa #993_445 N. Stapley Dr_Mesa, Arizona 85203_480-733-0004",465
-111.6840841,33.45479248,Starbucks - AZ - Mesa  00180,"Safeway-Mesa #2644_2151 N Power Rd_Mesa, Arizona 85215",465
-111.7718998,33.4226701,Starbucks - AZ - Mesa  00181,"Safeway - Mesa #1567_2740 E University Dr_Mesa, Arizona 85213_480-833-8338",465
-111.7532534,33.39379889,Starbucks - AZ - Mesa  00182,"Safeway - Mesa #1637_3622 E Southern Ave_Mesa, Arizona 85206_480-807-0447",465
-111.6870689,33.33250477,Starbucks - AZ - Mesa  00183,"Super Target Gilbert ST-1959_5110 S. Power Road_Mesa, Arizona 85212",465
-111.6375432,33.37909008,Starbucks - AZ - Mesa  00184,"Safeway-Mesa #2676_9101 E Baseline Rd_Mesa, Arizona 85208",465
-111.8747,33.3814,Starbucks - AZ - Mesa West  00185,"Target Mesa T-1429_1230 S. Longmore Ave_Mesa West, Arizona 85202",465
-111.6361908,33.37831827,Starbucks - AZ - Mesa [WD]  00186,"Ellsworth & Baseline, Mesa_2043 S. Ellsworth Road_Mesa, Arizona 852121224_480-984-6497",465
-111.6840636,33.46678288,Starbucks - AZ - Mesa [WD]  00187,"Power & McDowell, Mesa_2832 North Power Road_Mesa, Arizona 85215_480-830-2876",465
-111.7538886,33.38021706,Starbucks - AZ - Mesa [WD]  00188,"Val Vista & Baseline, Mesa_1939 S Val Vista Dr_Mesa, Arizona 85204_480-892-3018",465
-111.755104,33.3937,Starbucks - AZ - Mesa [WD]  00189,"Val Vista & Southern, Mesa_3550 E. Southern Avenue_Mesa, Arizona 852045601_480-830-0152",465
-111.7874795,33.37902519,Starbucks - AZ - Mesa [W]  00190,"Baseline & Gilbert_2048 E. Baseline_Mesa, Arizona 85204_(480) 497-8544",465
-111.687991,33.37826704,Starbucks - AZ - Mesa [W]  00191,"Power & Baseline_2060 S. Power Rd._Mesa, Arizona 85208_480-218-0300",465
-111.874783,33.38388487,Starbucks - AZ - Mesa [W]  00192,"Dobson & Freeway_1653 Dobson Road_Mesa, Arizona 85202_480-775-0511",465
-111.861856,33.39311451,Starbucks - AZ - Mesa [W]  00193,"Southern & Longmore, Mesa_1457 W. Southern Avenue_Mesa, Arizona 85202_480-833-5593",465
-111.8054634,33.38418881,Starbucks - AZ - Mesa [W]  00194,"Stapley & the Freeway - Mesa, AZ._1641 S Stapley Rd_Mesa, Arizona 85204_480-633-6643",465
-110.9629869,32.4272998,Starbucks - AZ - Oro Valley  00195,"Safeway-Oro Valley #1521_12122 N Rancho Vistoso Blvd_Oro Valley, Arizona 85737",465
-110.939853,32.41179186,Starbucks - AZ - Oro Valley [W]  00196,"1st & Oracle, Oro Valley_10785 N. Oracle Road_Oro Valley, Arizona 85737_520-229-1979",465
-114.279904,34.154358,Starbucks - AZ - Parker  00197,"Safeway - Parker #2075_121 W Riverside Rd_Parker, Arizona 85344",465
-111.31757,34.24052,Starbucks - AZ - Payson  00198,"Safeway-Payson #1536_401 E Hwy 260_Payson, Arizona 85541",465
-112.2888222,33.56562937,Starbucks - AZ - Peoria  00199,"Safeway-Peoria #1662_10641 W Olive Ave_Peoria, Arizona 85345",465
-112.236554,33.68161278,Starbucks - AZ - Peoria  00200,"Albertsons-Peoria #991_8240 W Deer Valley Rd_Peoria, Arizona 853822125",465
-112.2220298,33.59583208,Starbucks - AZ - Peoria  00201,"Albertsons-Peoria #998_7575 W Cactus Rd_Peoria, Arizona 85381",465
-112.238329,33.67387,Starbucks - AZ - Peoria  00202,"Safeway-Peoria #1955_20713 N 83rd Ave_Peoria, Arizona 85382",465
-112.250954,33.63803903,Starbucks - AZ - Peoria [W]  00203,"91st & Bell, Peoria_8940 W. Bell Rd, Suite B-101_Peoria, Arizona 853824713_623-583-3543",465
-112.220411,33.61039102,Starbucks - AZ - Peoria [W]  00204,"75th Avenue & Thurderbird, Peoria_7518 W. Thunderbird Road_Peoria, Arizona 85381_623-979-5479",465
-111.9773444,33.67893289,Starbucks - AZ - Phoenix  00205,"Albertsons-Phoenix #1025_21001 North Tatum Blvd_Phoenix, Arizona 85050",465
-112.0309058,33.6540053,Starbucks - AZ - Phoenix  00206,"Albertsons-Phoenix #985_18411 N Cave Creek Rd_Phoenix, Arizona 85032_602-494-7388",465
-112.0710621,33.4468558,Starbucks - AZ - Phoenix  00207,"America West Arena_201 E Jefferson St_Phoenix, Arizona 85004_602-514-8565",465
-112.1272521,33.7983738,Starbucks - AZ - Phoenix  00208,"Albertsons-Phoenix #1004_3130 W Carefree Hwy_Phoenix, Arizona 85009",465
-111.965987,33.6852244,Starbucks - AZ - Phoenix  00209,"Marriott Desert Ridge - Lobby_5350 East Pathfinder Drive_Phoenix, Arizona 85054",465
-112.0693,33.4624,Starbucks - AZ - Phoenix  00210,"Phoenix Convention Center_111 NW 3rd Street_Phoenix, Arizona 85004",44
-112.07656,33.44834,Starbucks - AZ - Phoenix  00211,"Phoenix City Hall_200 W Washington St_Phoenix, Arizona 85003",44
-112.0548,33.3061,Starbucks - AZ - Phoenix  00212,"Safeway - Phoenix #1980_1334 East Chandler Blvd_Phoenix, Arizona 85048",44
-112.0686,33.4658,Starbucks - AZ - Phoenix  00213,"Safeway - Phoenix #2651_340 East McDowell Rd_Phoenix, Arizona 85004",44
-112.0147,33.6114,Starbucks - AZ - Phoenix  00214,"Safeway - Phoenix #1202_3131 East Thunderbird Rd_Phoenix, Arizona 85032",44
-112.014976,33.50986629,Starbucks - AZ - Phoenix  00215,"Safeway - Phoenix #2042_3132 E Camelback Road_Phoenix, Arizona 85016",44
-111.9970579,33.30504059,Starbucks - AZ - Phoenix  00216,"Safeway-Phoenix #1201_4005 East Chandler Boulevard_Phoenix, Arizona 85044",44
-111.9903477,33.75632629,Starbucks - AZ - Phoenix  00217,"Safeway-Phoenix #1543_29834 N Cave Creek Rd_Phoenix, Arizona 85331_480-563-9335",44
-111.9794966,33.49451344,Starbucks - AZ - Phoenix  00218,"Safeway - Phoenix #2716_4750 E Indian School Rd_Phoenix, Arizona 85018",44
-112.0815738,33.48751933,Starbucks - AZ - Phoenix  00219,"Safeway-Phoenix #174_520 W Osborn_Phoenix, Arizona 85013_602-274-7422",44
-112.0627498,33.53819933,Starbucks - AZ - Phoenix  00220,"Safeway-Phoenix #1515_810 E Glendale Ave_Phoenix, Arizona 85020_602-331-0134",44
-111.98146,33.34882,Starbucks - AZ - Phoenix  00221,"Safeway-Phoenix #752_4747 E Elliot Rd_Phoenix, Arizona 85044_480-496-0076",44
-112.0475,33.3904,Starbucks - AZ - Phoenix  00222,"Safeway-Phoenix #1591_6202 S 16th St_Phoenix, Arizona 85040",44
-112.0792,33.48043,Starbucks - AZ - Phoenix  00223,"St Joseph Hospital_350 W. Thomas Rd._Phoenix, Arizona 85013_604-406-4079",44
-111.977693,33.64060689,Starbucks - AZ - Phoenix  00224,"Safeway-Phoenix #413_550 E Bell Rd_Phoenix, Arizona 85032",44
-112.0784,33.4522,Starbucks - AZ - Phoenix  00225,"Target Phoenix SW T-2149_9830 W Lower Buckeye_Phoenix, Arizona 85003_623-687-2136",44
-111.98813,33.599728,Starbucks - AZ - Phoenix  00226,"Target Paradise Vall Phoenix  T-233_12602 N Paradise Village Pkwy_Phoenix, Arizona 85032",44
-112.2175287,33.47661835,Starbucks - AZ - Phoenix  00227,"Target Phoenix T-851_7409 W Virginia Ave_Phoenix, Arizona 85035",44
-112.0359959,33.3777377,Starbucks - AZ - Phoenix  00228,"Target S. Mountain Phoenix T-1905_2140 E. Baseline_Phoenix, Arizona 85040",44
-111.98479,33.4800915,Starbucks - AZ - Phoenix  00229,"Target Phoenix T-950_4515 E Thomas Rd_Phoenix, Arizona 85018_602-952-1797",44
-112.0081158,33.43494437,Starbucks - AZ - Phoenix [A]  00230,"PHX Airport_3400 Sky Harbor Blvd._Phoenix, Arizona 85034",44
-112.082479,33.515962,Starbucks - AZ - Phoenix [D]  00231,"7th Avenue & Missouri, Phoenix_5344 N. 7th Avenue_Phoenix, Arizona 850131903_602-265-4176",44
-112.0473477,33.52370909,Starbucks - AZ - Phoenix [WD]  00232,"16th Street & Bethany Home, Phoenix_1601 E. Bethany Home Road_Phoenix, Arizona 850162514_602-274-1024",44
-112.0109838,33.64059753,Starbucks - AZ - Phoenix [WD]  00233,"32nd Street & Bell Rd, Phoenix_3317 E. Bell Road_Phoenix, Arizona 850322708_602-867-7968",44
-112.0316793,33.3777377,Starbucks - AZ - Phoenix [WD]  00234,"24th St & Baseline, Phoenix_2340 E. Baseline Road_Phoenix, Arizona 850426952_602-304-0263",44
-112.070152,33.6402,Starbucks - AZ - Phoenix [WD]  00235,"3rd Street & Bell Rd, Phoenix_275 East Bell Road_Phoenix, Arizona 850226317_602-863-1564",44
-112.1469592,33.61082474,Starbucks - AZ - Phoenix [WD]  00236,"43rd Avenue & Thunderbird, Phoenix_4123 W. Thunderbird Road_Phoenix, Arizona 850535341_602-298-1262",44
-112.1301364,33.52396181,Starbucks - AZ - Phoenix [WD]  00237,"35th Ave & Bethany Home, Phoenix_3320 W. Bethany Home Road_Phoenix, Arizona 850171916_602-841-2163",44
-111.9956363,33.62643855,Starbucks - AZ - Phoenix [WD]  00238,"40th Street & Greenway, Phoenix_4010 E. Greenway Road_Phoenix, Arizona 850324749_602-494-3121",44
-111.9845919,33.30520451,Starbucks - AZ - Phoenix [WD]  00239,"46th & Chandler_4605 E. Chandler Blvd._Phoenix, Arizona 850480424_480-785-7795",44
-112.064999,33.517704,Starbucks - AZ - Phoenix [WD]  00240,"5557 N. 7th Street, Phoenix_5557 N. 7th Street_Phoenix, Arizona 850142502_602-279-1544",44
-112.220619,33.465897,Starbucks - AZ - Phoenix [WD]  00241,"75th Ave. & McDowell, Phoenix_1610 N. 75th Avenue_Phoenix, Arizona 850354539_623-247-0774",44
-112.255199,33.478552,Starbucks - AZ - Phoenix [WD]  00242,"91st. Avenue & Thomas, Phoenix_2815 N. 91st Avenue_Phoenix, Arizona 850374053_623-474-7163",44
-112.2731264,33.50830018,Starbucks - AZ - Phoenix [WD]  00243,"99th Avenue & Camelback, Phoenix_9925 W. Camelback Road_Phoenix, Arizona 850375006_623-872-6172",44
-111.9774476,33.67922567,Starbucks - AZ - Phoenix [WD]  00244,"Tatum & Rose Garden, Phoenix_21050 N. Tatum Blvd_Phoenix, Arizona 850504202_480-563-2085",44
-112.0464455,33.50921915,Starbucks - AZ - Phoenix [W]  00245,"16th & Camelback_1641 East Camelback Road_Phoenix, Arizona 85016_(602) 263-7434",44
-112.0984785,33.55299694,Starbucks - AZ - Phoenix [W]  00246,"19th & Northern - Phoenix_1820 W Northern_Phoenix, Arizona 85021_(602) 216-0299",44
-112.0305933,33.50927007,Starbucks - AZ - Phoenix [W]  00247,"24th St. & Camelback, Phoenix_2375 E Camelback Rd_Phoenix, Arizona 85016_602-381-3211",44
-112.0699078,33.45233361,Starbucks - AZ - Phoenix [W]  00248,"3rd & Van Buren St., Phoenix_455 N. 3rd Street_Phoenix, Arizona 850043925_602-258-8472",44
-112.121387,33.58185449,Starbucks - AZ - Phoenix [W]  00249,"31st & Peoria, Phoenix_2815 W. Peoria Avenue_Phoenix, Arizona 85029_602-943-4362",44
-111.987768,33.49473543,Starbucks - AZ - Phoenix [W]  00250,"44th & Indian School Road_4340 East Indian School Road_Phoenix, Arizona 850185333_602-778-0107",44
-111.9779393,33.79912281,Starbucks - AZ - Phoenix [W]  00251,"48th & Carefree Hwy, N. Phoenix_4815 E Carefree Hwy_Phoenix, Arizona 85331_480-575-7125",44
-112.080765,33.466037,Starbucks - AZ - Phoenix [W]  00252,"7th & McDowell_530 East McDowell Road_Phoenix, Arizona 85003_(602) 257-9602",44
-112.2029872,33.67081429,Starbucks - AZ - Phoenix [W]  00253,"67th & Beardsley_20249 N. 67th Ave._Phoenix, Arizona 85308_(623) 362-9288",44
-112.0651608,33.60684615,Starbucks - AZ - Phoenix [W]  00254,"7th & Thunderbird, Phoenix_13240 N 7th St_Phoenix, Arizona 850225309_602-938-1306",44
-112.0285988,33.50935886,Starbucks - AZ - Phoenix [W]  00255,"Esplanade_2425 East Camelback Road_Phoenix, Arizona 85016_(602) 381-8011",44
-111.9256816,33.52661192,Starbucks - AZ - Phoenix [W]  00256,"Hilton Village_6137 N. Scottsdale Rd._Phoenix, Arizona 85250_(480) 483-5698",44
-112.0724875,33.44932599,Starbucks - AZ - Phoenix [W]  00257,"Central & Adams (Crown Plaza)_100 North 1st Street_Phoenix, Arizona 85004_(602) 340-0455",44
-112.100029,33.71280288,Starbucks - AZ - Phoenix [W]  00258,"Happy Valley & I-17, Phoenix_2501 West Happy Valley Road_Phoenix, Arizona 85027_623-587-6499",44
-112.0736849,33.48396422,Starbucks - AZ - Phoenix [W]  00259,"Park Central Mall - Phoenix_3110 North Central_Phoenix, Arizona 85013_(602) 631-4409",44
-112.1057,33.677,Starbucks - AZ - Phoenix [W]  00260,"Loop 101 & Beardsley_3049 West Agua Fria Freeway_Phoenix, Arizona 85027_623-869-9744",44
-111.9839362,33.59980423,Starbucks - AZ - Phoenix [W]  00261,"Paradise Valley Mall_4550 E Cactus_Phoenix, Arizona 85032_(602) 765-3563",44
-111.9258318,33.62230287,Starbucks - AZ - Phoenix [W]  00262,"Scottsdale & Kierland, Phoenix_15054 N. Scottsdale Rd._Phoenix, Arizona 85254_480-443-3306",44
-111.9296431,33.65523804,Starbucks - AZ - Phoenix [W]  00263,"Scottsdale & Loop 101, Scottsdale_7000 E. Mayo Blvd., Bldg. #1_Phoenix, Arizona 85054_480-473-0743",44
-111.9773793,33.67736785,Starbucks - AZ - Phoenix [W]  00264,"Tatum & Loop 101, Phoenix_21001 N Tatum Blvd_Phoenix, Arizona 85050_480-502-4761",44
-111.9787931,33.64061119,Starbucks - AZ - Phoenix [W]  00265,"Tatum & Bell_4747 East Bell Rd._Phoenix, Arizona 85032_(602) 867-0662",44
-111.9778096,33.58299855,Starbucks - AZ - Phoenix [W]  00266,"Tatum & Shea_10625 North Tatum Boulevard_Phoenix, Arizona 85028_(480) 607-0102",44
-111.9778096,33.61096475,Starbucks - AZ - Phoenix [W]  00267,"Tatum & Thunderbird_13637 N. Tatum Blvd._Phoenix, Arizona 85032_(602) 404-2400",44
-112.4821283,34.55943317,Starbucks - AZ - Prescott  00268,"Safeway-Prescott #245_1044 Willow Creek Road_Prescott, Arizona 86301",44
-112.3307391,34.58534588,Starbucks - AZ - Prescott Valley  00269,"Safeway-Prescott Valley #1055_7720 E Hwy 69_Prescott Valley, Arizona 86314",44
-112.48826,34.56263,Starbucks - AZ - Prescott [D]  00270,"Iron Springs & Gail Gardner Way_1220 Gail Gardner Way_Prescott, Arizona 863051641_928-445-7023",44
-112.46997,34.546028,Starbucks - AZ - Prescott [W]  00271,"Montezuma & Sheldon, Prescott_351 N. Montezuma St._Prescott, Arizona 863013020_928-776-9797",44
-111.68596,33.23293,Starbucks - AZ - Queen Creek  00272,"Bashas' Queen Creek #46_23760 S Power Rd_Queen Creek, Arizona 85242",44
-111.6346988,33.2631914,Starbucks - AZ - Queen Creek  00273,"Safeway-Queen Creek #1819_18495 E Queen Creek Rd_Queen Creek, Arizona 85242",44
-110.9937,31.9555,Starbucks - AZ - Sahuarita  00274,"Safeway-Sahuarita #1771_1301 W Duval Mine Rd_Sahuarita, Arizona 85629",44
-111.8873665,33.62960993,Starbucks - AZ - Scottsdale  00275,"Albertsons-Scottsdale #969_15660 N Frank Lloyd Wright Blvd_Scottsdale, Arizona 85260_602-451-9825",44
-111.9260026,33.5095706,Starbucks - AZ - Scottsdale  00276,"Albertsons-Scottsdale #979_24442 N Scottsdale_Scottsdale, Arizona 85250",44
-111.83456,33.5895922,Starbucks - AZ - Scottsdale  00277,"Albertsons-Scottsdale #983_11475 E Via Linda_Scottsdale, Arizona 85259_602-767-0819",44
